Date,CUSIP,Type,Name,MV%
2021-09-01,15135B101,BUY,Centene Corporation,-0.00492112679539788
2021-09-01,458140100,BUY,Intel Corporation,-0.007743804265532578
2021-09-01,52567D107,SELL,Lemonade Inc,0.0035919433372026558
2021-09-01,539439109,BUY,Lloyds Banking Group plc Sponsored ADR,-0.0057862749755239855
2021-09-01,55261F104,BUY,M&T Bank Corporation,-0.006247764261500127
2021-09-01,743315103,BUY,Progressive Corporation,-0.003592118922864241
2021-09-01,949746101,SELL,Wells Fargo & Company,0.011691371276608846
2021-09-01,958102105,SELL,Western Digital Corporation,0.005812249111605532
2021-09-01,464285204,SELL,iShares Gold Trust,0.017039008185828625
2021-09-01,46428Q109,SELL,iShares Silver Trust,8.424349206168445e-05
