Date,CUSIP,Type,Name,MV%
2022-03-04,00724F101,BUY,Adobe Inc.,-0.0006017063445291962
2022-03-04,E04648114,SELL,Amadeus IT Group SA Class A,0.0026448934845011165
2022-03-04,023135106,BUY,"Amazon.com, Inc.",-0.0007710663735402991
2022-03-04,032095101,BUY,Amphenol Corporation Class A,-0.00029984879851624067
2022-03-04,037833100,BUY,Apple Inc.,-0.012107945035347305
2022-03-04,E2R41M104,SELL,Cellnex Telecom S.A.,0.0032423294446997136
2022-03-04,256677105,BUY,Dollar General Corporation,-0.0008276970893913923
2022-03-04,D35415104,SELL,Infineon Technologies AG,0.002180310097401639
2022-03-04,45662N103,SELL,Infineon Technologies AG Sponsored ADR,0.008958428504951762
2022-03-04,594918104,BUY,Microsoft Corporation,-0.0003841496785604916
2022-03-04,78410G104,BUY,SBA Communications Corp. Class A,-0.0030358294038596158
2022-03-04,D98423102,SELL,Zalando SE,0.001981236968084328
2022-03-04,79466L302,BUY,"salesforce.com, inc.",-0.0007996145333280478
