Date,CUSIP,Type,Name,MV%
2021-06-18,02005N100,SELL,Ally Financial Inc,0.006369675465319554
2021-06-18,032095101,BUY,Amphenol Corporation Class A,-0.004931294112019545
2021-06-18,036752103,SELL,"Anthem, Inc.",0.010520689245956238
2021-06-18,133131102,SELL,Camden Property Trust,0.008636119638565549
2021-06-18,313747206,BUY,Federal Realty Investment Trust,-0.0038124517286079497
2021-06-18,31620M106,SELL,"Fidelity National Information Services, Inc.",0.010209075489896708
2021-06-18,38141G104,BUY,"Goldman Sachs Group, Inc.",-0.0027318481808018464
2021-06-18,444097109,BUY,"Hudson Pacific Properties, Inc.",-0.005085251345330737
2021-06-18,458140100,BUY,Intel Corporation,-0.009950189453071488
2021-06-18,46137V357,BUY,Invesco S&P 500 Equal Weight ETF,-0.003979484922499051
2021-06-18,539439109,BUY,Lloyds Banking Group plc Sponsored ADR,-0.004805685252971476
2021-06-18,55261F104,BUY,M&T Bank Corporation,-0.0029784417871015515
2021-06-18,78464A698,SELL,SPDR S&P Regional Banking ETF,0.004683518788260752
2021-06-18,91324P102,BUY,UnitedHealth Group Incorporated,-0.008996016828632818
