Date,CUSIP,Type,Name,MV%
2021-06-17,002824100,BUY,Abbott Laboratories,-0.00937715130400879
2021-06-17,020002101,SELL,Allstate Corporation,0.005704574338318972
2021-06-17,244199105,BUY,Deere & Company,-0.007427761969069163
2021-06-17,244199105,SELL,Deere & Company,0.002885223481213175
2021-06-17,26441C204,SELL,Duke Energy Corporation,0.0065242278073366754
2021-06-17,37954Y319,SELL,Global X MSCI Greece ETF,0.003665221019643825
2021-06-17,478160104,BUY,Johnson & Johnson,-0.0056693345206695655
2021-06-17,55261F104,BUY,M&T Bank Corporation,-0.0021009370953474034
2021-06-17,65339F101,SELL,"NextEra Energy, Inc.",0.008055002724818043
2021-06-17,66987V109,SELL,Novartis AG Sponsored ADR,0.010165141115998064
2021-06-17,718546104,BUY,Phillips 66,-0.009430182838911309
2021-06-17,743315103,BUY,Progressive Corporation,-0.008169808934646606
2021-06-17,78464A698,SELL,SPDR S&P Regional Banking ETF,0.002025646824053114
2021-06-17,91913Y100,SELL,Valero Energy Corporation,0.007317168247374203
