Date,CUSIP,Type,Name,MV%
2021-06-29,46137Y609,BUY,Invesco S&P 500 Equal Weight Communication Services ETF,-0.0006463726815096472
2021-06-29,46137V381,BUY,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,-0.002050022388355788
2021-06-29,46137V357,SELL,Invesco S&P 500 Equal Weight ETF,0.013120606335783233
2021-06-29,46137V365,BUY,Invesco S&P 500 Equal Weight Energy ETF,-0.0009012780795729937
2021-06-29,46137V340,BUY,Invesco S&P 500 Equal Weight Financials ETF,-0.0018850069472727904
2021-06-29,46137V332,BUY,Invesco S&P 500 Equal Weight Health Care ETF,-0.0025957006057406497
2021-06-29,46137V324,BUY,Invesco S&P 500 Equal Weight Industrials ETF,-0.002578342545082375
2021-06-29,46137V316,BUY,Invesco S&P 500 Equal Weight Materials ETF,-0.0006190324708080942
2021-06-29,46137V290,BUY,Invesco S&P 500 Equal Weight Real Estate ETF,-0.0014299651340831747
2021-06-29,46137V282,BUY,Invesco S&P 500 Equal Weight Technology ETF,-0.0022059159914397937
2021-06-29,464288521,SELL,iShares Core U.S. REIT ETF,0.0005943997127165052
