Date,CUSIP,Name,MV%
2021-09-20,N07059210,ASML Holding NV ADR,0.014067065942404236
2021-09-20,002824100,Abbott Laboratories,0.022017963096543
2021-09-20,E04648114,Amadeus IT Group SA Class A,0.0028996796059643083
2021-09-20,023135106,"Amazon.com, Inc.",0.012957067636817431
2021-09-20,024013104,"American Assets Trust, Inc.",0.011425608986451966
2021-09-20,032095101,Amphenol Corporation Class A,0.011077974346725847
2021-09-20,053484101,"AvalonBay Communities, Inc.",0.011350830857728946
2021-09-20,060505104,Bank of America Corp,0.007047162926162132
2021-09-20,097023105,Boeing Company,0.01725688726193189
2021-09-20,09857L108,Booking Holdings Inc.,0.021088693617725324
2021-09-20,14448C104,Carrier Global Corp.,0.012814860486342276
2021-09-20,150870103,Celanese Corporation,0.008595932520268123
2021-09-20,E2R41M104,Cellnex Telecom S.A.,0.004808967300528215
2021-09-20,15135B101,Centene Corporation,0.018635005701349665
2021-09-20,171779309,Ciena Corporation,0.00937864458914277
2021-09-20,20825C104,ConocoPhillips,0.007345245793842877
2021-09-20,22052L104,Corteva Inc,0.006034208870243408
2021-09-20,22822V101,Crown Castle International Corp,0.00650531108119843
2021-09-20,23804L103,Datadog Inc Class A,0.012266637699258454
2021-09-20,244199105,Deere & Company,0.010494061413179214
2021-09-20,25960P109,"Douglas Emmett, Inc",0.011651964055273264
2021-09-20,28176E108,Edwards Lifesciences Corporation,0.011693227167267412
2021-09-20,30303M102,"Facebook, Inc. Class A",0.0105295585007899
2021-09-20,313747206,Federal Realty Investment Trust,0.013356892519567964
2021-09-20,36262G101,"GXO Logistics, Inc.",0.005648902013172663
2021-09-20,38141G104,"Goldman Sachs Group, Inc.",0.010220188125554922
2021-09-20,438516106,Honeywell International Inc.,0.00805205999265218
2021-09-20,452327109,"Illumina, Inc.",0.010710905115885828
2021-09-20,D35415104,Infineon Technologies AG,0.0029601585090399487
2021-09-20,45662N103,Infineon Technologies AG Sponsored ADR,0.01184060829497951
2021-09-20,458140100,Intel Corporation,0.019774632105442568
2021-09-20,46137Y609,Invesco S&P 500 Equal Weight Communication Services ETF,0.0006277759047493957
2021-09-20,46137V381,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,0.002051868092153168
2021-09-20,46137V365,Invesco S&P 500 Equal Weight Energy ETF,0.0008269354166013751
2021-09-20,46137V340,Invesco S&P 500 Equal Weight Financials ETF,0.0019173961663531496
2021-09-20,46137V332,Invesco S&P 500 Equal Weight Health Care ETF,0.0027823770474132595
2021-09-20,46137V324,Invesco S&P 500 Equal Weight Industrials ETF,0.0026137594459674286
2021-09-20,46137V316,Invesco S&P 500 Equal Weight Materials ETF,0.0006118807259244511
2021-09-20,46137V290,Invesco S&P 500 Equal Weight Real Estate ETF,0.0014956655391815193
2021-09-20,46137V282,Invesco S&P 500 Equal Weight Technology ETF,0.0022578618873703668
2021-09-20,46625H100,JPMorgan Chase & Co.,0.008465347512690884
2021-09-20,478160104,Johnson & Johnson,0.010119990581302134
2021-09-20,502431109,L3Harris Technologies Inc,0.01057380758969691
2021-09-20,539439109,Lloyds Banking Group plc Sponsored ADR,0.01454767951947394
2021-09-20,539830109,Lockheed Martin Corporation,0.009147977872624016
2021-09-20,55261F104,M&T Bank Corporation,0.019479921332378934
2021-09-20,57636Q104,Mastercard Incorporated Class A,0.017488043060876025
2021-09-20,594918104,Microsoft Corporation,0.01136344403606777
2021-09-20,62944T105,"NVR, Inc.",0.012788604482453298
2021-09-20,666807102,Northrop Grumman Corporation,0.011672415423008354
2021-09-20,G66721104,Norwegian Cruise Line Holdings Ltd.,0.016643796700534123
2021-09-20,693475105,"PNC Financial Services Group, Inc.",0.009982609902130103
2021-09-20,695156109,Packaging Corporation of America,0.008631738502042208
2021-09-20,701094104,Parker-Hannifin Corporation,0.00916192959233757
2021-09-20,723787107,Pioneer Natural Resources Company,0.006535994568096136
2021-09-20,743315103,Progressive Corporation,0.01186797116962067
2021-09-20,75513E101,Raytheon Technologies Corporation,0.007518355231248146
2021-09-20,75886F107,"Regeneron Pharmaceuticals, Inc.",0.01237294877382853
2021-09-20,78410G104,SBA Communications Corp. Class A,0.00909770534753071
2021-09-20,806857108,Schlumberger NV,0.006733892762114234
2021-09-20,81762P102,"ServiceNow, Inc.",0.0125243069138944
2021-09-20,863667101,Stryker Corporation,0.010706052903402425
2021-09-20,872590104,"T-Mobile US, Inc.",0.008893127317229093
2021-09-20,883556102,Thermo Fisher Scientific Inc.,0.018990555754012907
2021-09-20,89151E109,Total SE Sponsored ADR Class B,0.004526329141017457
2021-09-20,CASHUSD,U.S. Dollar,0.27181380014277345
2021-09-20,907818108,Union Pacific Corporation,0.018590936800704637
2021-09-20,911363109,"United Rentals, Inc.",0.0063636058837388005
2021-09-20,91324P102,UnitedHealth Group Incorporated,0.021246770205845138
2021-09-20,92556H206,ViacomCBS Inc. Class B,0.010003022658094768
2021-09-20,929160109,Vulcan Materials Company,0.006105499069038039
2021-09-20,983793100,"XPO Logistics, Inc.",0.005854895808389861
2021-09-20,D98423102,Zalando SE,0.004107095408333308
2021-09-20,98980L101,"Zoom Video Communications, Inc. Class A",0.005418582802587735
2021-09-20,79466L302,"salesforce.com, inc.",0.010967364495048459
