Date,CUSIP,Type,Name,MV%
2021-03-25,020002101,SELL,Allstate Corporation,0.0022511265913371633
2021-03-25,024013104,SELL,"American Assets Trust, Inc.",0.00042285230859708596
2021-03-25,42751Q105,SELL,Hermes International SCA Unsponsored ADR,0.0033624295300694737
2021-03-25,666807102,SELL,Northrop Grumman Corporation,0.0008382471843596267
2021-03-25,723787107,SELL,Pioneer Natural Resources Company,0.0004137420759321894
2021-03-25,91324P102,SELL,UnitedHealth Group Incorporated,0.002417556923054221
2021-03-25,464285105,BUY,iShares Gold Trust,-0.0070021592044759735
2021-03-25,464285105,SELL,iShares Gold Trust,0.007201671977597343
2021-03-25,46428Q109,BUY,iShares Silver Trust,-0.002546091860260984
2021-03-25,46428Q109,SELL,iShares Silver Trust,0.0022998775751332063
