Date,CUSIP,Type,Name,MV%
2022-01-10,02079K305,BUY,Alphabet Inc. Class A,-0.003348607770000216
2022-01-10,09260D107,BUY,Blackstone Group Inc.,-0.012146810154977029
2022-01-10,235851102,BUY,Danaher Corporation,-0.010001183364376722
2022-01-10,23804L103,BUY,Datadog Inc Class A,-0.0008661398120849335
2022-01-10,36262G101,SELL,"GXO Logistics, Inc.",0.005730732622171758
2022-01-10,594918104,BUY,Microsoft Corporation,-0.001526798520620964
2022-01-10,75886F107,BUY,"Regeneron Pharmaceuticals, Inc.",-0.0015268234940171172
2022-01-10,776696106,BUY,"Roper Technologies, Inc.",-0.0112389522846181
2022-01-10,81762P102,BUY,"ServiceNow, Inc.",-0.0034138133073563395
2022-01-10,872590104,BUY,"T-Mobile US, Inc.",-0.002799230514723047
2022-01-10,911363109,SELL,"United Rentals, Inc.",0.003990723731892461
2022-01-10,983793100,SELL,"XPO Logistics, Inc.",0.004738414726022552
2022-01-10,79466L302,BUY,"salesforce.com, inc.",-0.003847975799480511
